datetime,AAPL,GOOG,cash,commission,total,comission,returns,equity_curve,drawdown
2010-01-01,0.0,0.0,100.0,0.0,100.0,,,,
2019-10-07,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-08,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-09,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-10,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-11,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-14,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-15,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-16,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-17,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-18,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-21,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-22,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-23,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-24,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-25,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-28,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-29,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-30,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-31,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-01,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-04,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-05,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-06,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-07,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-08,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-11,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-12,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-13,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-14,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-15,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-18,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-19,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
